Professor Name,Research Area,Biography,Research Interests,Education,doc_id
Rajagopal Venkatesaramani,Artificial Intelligence,"Rajagopal Venkatesaramani is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Computer Science, Washington University in St. Louis; MS in Computer Science, Washington University in St. Louis; BTech in Computer Science, Shiv Nadar University — India",1994
Rajmohan Rajaraman,Algorithms and Theory,"Rajmohan Rajaraman is a professor and the associate dean of faculty affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Approximation algorithms for intractable optimization problems; Network design; Distributed computing in dynamic environments; Algorithmic game theory,"PhD in Computer Science, University of Texas at Austin; BS in Computer Science, IIT Kanpur — India",1995
Ravi Sundaram,Algorithms and Theory,"Ravi Sundaram is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Networks; Algorithms,"PhD in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; MS in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; BTech in Computer Science and Engineering, Indian Institute of Technology — India",1996
Ricardo Baeza-Yates,Data Management; Data Science; Natural Language Processing,"Ricardo Baeza-Yates is a professor of the practice and the director of research at Northeastern University's Institute for Experiential Artificial Intelligence, based in Silicon Valley.",Information retrieval; Web search and data mining; Data science and its associated algorithms,"PhD in Computer Science, University of Waterloo — Canada; MS in Computer Science, University of Chile in Santiago; MEng in Electronic Engineering, University of Chile in Santiago; BS in Electronic Engineering, University of Chile in Santiago",1997
Robert Platt,Robotics,"Robert Platt is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is also affiliated with the College of Engineering.","Perception, planning, and control for robotic manipulation","PhD in Computer Science, University of Massachusetts Amherst",1998
Robin Walters,Artificial Intelligence; Machine Learning; Robotics,"Robin Walters is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Deep learning; Equivariant neural networks; Representation theory; Algebraic geometry,"PhD in Mathematics, University of Chicago; AB in Mathematics, Harvard University",1999
Rupal Patel,Human-Centered Computing,"Rupal Patel is a professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston. She is a founding member of the doctoral program in personal health informatics and the founder and director of the Communication Analysis and Design Laboratory (CadLab).",Speech acoustics and analytics; Design and development of assistive communication technology; Speech motor control in neuromotor disorders; Typical speech development,"Postdoc, Massachusetts Institute of Technology; PhD in Speech Language Pathology, University of Toronto — Canada; MHSc in Speech Language Pathology, University of Toronto — Canada; BSc in Neuropsychology, University of Calgary — Canada",2000
Ryan Bockmon,Computer Science Education,"Ryan Bockmon is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Computer Science, University of Nebraska–Lincoln; BS in Computer Science, Montana State University",2001
Ryan M. Rad,Artificial Intelligence; Machine Learning,"Ryan M. Rad is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University in Vancouver. He earned his bachelor’s in computer engineering from the University of Guilan, his master’s in computer science from the University of Malaya, and his PhD in applied sciences from Simon Fraser University. His areas of teaching include machine learning, data analytics, and visualization software engineering algorithms. Rad is currently research active in computational biology, machine learning, and personal health informatics.",Machine learning; Computer vision; Generative models; Data science,"PhD in Applied Sciences, Simon Fraser University — Canada; MS in Computer Science, University of Malaya — Malaysia; BE in Computer Engineering, University of Guilan — Iran",2002
Rébecca Kleinberger,Human-Centered Computing,"Rebecca Kleinberger is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",Animal–computer interaction; Technological enrichment for zoo animals; Human–computer interaction; Voice technology; Assistive technology; Music technology,"PhD in Media Arts and Sciences, Massachusetts Institute of Technology; MS in Media Arts and Sciences, Massachusetts Institute of Technology; MS in VR and Computer Graphics, University College London — United Kingdom; MS in Mechanical Engineering, Ecole National Supérieure des Arts et Métiers — France",2003
Saiph Savage,Artificial Intelligence; Human-Centered Computing,"Saiph Savage is an assistant professor and director of the Civic AI Lab in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Human–computer interaction; Data science; Network science; Machine learning,"PhD in Computer Science; University of California, Santa Barbara; MA in Computer Science; University of California, Santa Barbara; BA in Computer Engineering, Universidad Nacional Autónoma de México — Mexico",2004
